"V1" "V2" "V3"
"1" "DPond_97_21" "Eukaryota" "Arthropoda"
"2" "DPond_97_108" "Eukaryota" "Arthropoda"
"3" "DPond_97_118" "Eukaryota" "Arthropoda"
"4" "DPond_97_121" "Eukaryota" "Arthropoda"
"5" "DPond_97_153" "Eukaryota" "Arthropoda"
"6" "DPond_97_169" "Eukaryota" "Arthropoda"
"7" "DPond_97_173" "Eukaryota" "Arthropoda"
"8" "DPond_97_237" "Eukaryota" "Mollusca"
"9" "DPond_97_335" "Eukaryota" "Arthropoda"
"10" "DPond_97_344" "Eukaryota" "Streptophyta"
"11" "DPond_97_391" "Eukaryota" "Arthropoda"
"12" "DPond_97_434" "Eukaryota" "Arthropoda"
"13" "DPond_97_472" "Eukaryota" "Chordata"
"14" "DPond_97_489" "Eukaryota" "Arthropoda"
"15" "DPond_97_491" "Eukaryota" "Arthropoda"
"16" "DPond_97_507" "Eukaryota" "Streptophyta"
"17" "DPond_97_510" "Eukaryota" "Arthropoda"
"18" "DPond_97_545" "Eukaryota" "Streptophyta"
"19" "DPond_97_592" "Eukaryota" "Arthropoda"
"20" "DPond_97_607" "Eukaryota" "Arthropoda"
"21" "DPond_97_688" "Eukaryota" "Arthropoda"
"22" "DPond_97_703" "Eukaryota" "Arthropoda"
"23" "DPond_97_741" "Eukaryota" "Arthropoda"
"24" "DPond_97_780" "Eukaryota" "Arthropoda"
"25" "DPond_97_796" "Eukaryota" "Arthropoda"
"26" "DPond_97_968" "Eukaryota" "Arthropoda"
"27" "DPond_97_989" "Eukaryota" "Arthropoda"
"28" "DPond_97_1016" "Eukaryota" "Ascomycota"
"29" "DPond_97_1022" "Eukaryota" "Arthropoda"
"30" "DPond_97_1056" "Eukaryota" "Arthropoda"
"31" "DPond_97_1131" "Eukaryota" "Arthropoda"
"32" "DPond_97_1146" "Eukaryota" "Arthropoda"
"33" "DPond_97_1150" "Eukaryota" "Arthropoda"
"34" "DPond_97_1159" "Eukaryota" "Arthropoda"
"35" "DPond_97_1176" "Eukaryota" "Arthropoda"
"36" "DPond_97_1203" "Eukaryota" "Arthropoda"
"37" "DPond_97_1217" "Eukaryota" "Arthropoda"
"38" "DPond_97_1258" "Eukaryota" "Arthropoda"
"39" "DPond_97_1272" "Eukaryota" "Streptophyta"
"40" "DPond_97_1279" "Eukaryota" "Arthropoda"
"41" "DPond_97_1318" "Eukaryota" "Arthropoda"
"42" "DPond_97_1335" "Eukaryota" "Arthropoda"
"43" "DPond_97_1347" "Eukaryota" "Arthropoda"
"44" "DPond_97_1348" "Eukaryota" "Arthropoda"
"45" "DPond_97_1360" "Eukaryota" "Arthropoda"
"46" "DPond_97_1383" "Eukaryota" "Arthropoda"
"47" "DPond_97_1439" "Eukaryota" "Chordata"
"48" "DPond_97_1476" "Eukaryota" "Arthropoda"
"49" "DPond_97_1481" "Eukaryota" "Arthropoda"
"50" "DPond_97_1508" "Eukaryota" "Arthropoda"
"51" "DPond_97_1542" "Eukaryota" "Arthropoda"
"52" "DPond_97_1565" "Eukaryota" "Arthropoda"
"53" "DPond_97_1577" "Eukaryota" "Chordata"
"54" "DPond_97_1587" "Eukaryota" "Arthropoda"
"55" "DPond_97_1624" "Eukaryota" "Streptophyta"
"56" "DPond_97_1643" "Eukaryota" "Arthropoda"
"57" "DPond_97_1644" "Eukaryota" "Arthropoda"
"58" "DPond_97_1678" "Eukaryota" "Arthropoda"
"59" "DPond_97_1732" "Eukaryota" "Arthropoda"
"60" "DPond_97_1748" "Eukaryota" "Arthropoda"
"61" "DPond_97_1786" "Eukaryota" "Arthropoda"
"62" "DPond_97_1800" "Eukaryota" "Arthropoda"
"63" "DPond_97_1806" "Eukaryota" "Arthropoda"
"64" "DPond_97_1808" "Eukaryota" "Arthropoda"
"65" "DPond_97_1840" "Eukaryota" "Chordata"
"66" "DPond_97_1896" "Bacteria" "Firmicutes"
"67" "DPond_97_1918" "Eukaryota" "Arthropoda"
"68" "DPond_97_1920" "Eukaryota" "Arthropoda"
"69" "DPond_97_1926" "Eukaryota" "Arthropoda"
"70" "DPond_97_1937" "Eukaryota" "Chordata"
"71" "DPond_97_1974" "Eukaryota" "Arthropoda"
"72" "DPond_97_1985" "Eukaryota" "Arthropoda"
"73" "DPond_97_2019" "Eukaryota" "Arthropoda"
"74" "DPond_97_2064" "Eukaryota" "Arthropoda"
"75" "DPond_97_2104" "Eukaryota" "Arthropoda"
"76" "DPond_97_2114" "Eukaryota" "Arthropoda"
"77" "DPond_97_2115" "Eukaryota" "Chordata"
"78" "DPond_97_2179" "Eukaryota" "Arthropoda"
"79" "DPond_97_2227" "Eukaryota" "Arthropoda"
"80" "DPond_97_2246" "Eukaryota" "Arthropoda"
"81" "DPond_97_2270" "Eukaryota" "Arthropoda"
"82" "DPond_97_2411" "Eukaryota" "Arthropoda"
"83" "DPond_97_2419" "Eukaryota" "Arthropoda"
"84" "DPond_97_2424" "Eukaryota" "Chordata"
"85" "DPond_97_2488" "Eukaryota" "Chordata"
"86" "DPond_97_2507" "Eukaryota" "Arthropoda"
"87" "DPond_97_2519" "Eukaryota" "Arthropoda"
"88" "DPond_97_2520" "Eukaryota" "Chordata"
"89" "DPond_97_2527" "Eukaryota" "Arthropoda"
"90" "DPond_97_2565" "Eukaryota" "Platyhelminthes"
"91" "DPond_97_2600" "Eukaryota" "Chordata"
"92" "DPond_97_2636" "Eukaryota" "Ascomycota"
"93" "DPond_97_2657" "Eukaryota" "Arthropoda"
"94" "DPond_97_2664" "Eukaryota" "Arthropoda"
"95" "DPond_97_2667" "Eukaryota" "Chordata"
"96" "DPond_97_2677" "Eukaryota" "Arthropoda"
"97" "DPond_97_2680" "Eukaryota" "Arthropoda"
"98" "DPond_97_2686" "Eukaryota" "Porifera"
"99" "DPond_97_2697" "Eukaryota" "Arthropoda"
"100" "DPond_97_2718" "Eukaryota" "Arthropoda"
"101" "DPond_97_2719" "Eukaryota" "Arthropoda"
"102" "DPond_97_2734" "Eukaryota" "Arthropoda"
"103" "DPond_97_2802" "Eukaryota" "Arthropoda"
"104" "DPond_97_2805" "Eukaryota" "Arthropoda"
"105" "DPond_97_2839" "Eukaryota" "Arthropoda"
"106" "DPond_97_2863" "Eukaryota" "Arthropoda"
"107" "DPond_97_2866" "Eukaryota" "Arthropoda"
"108" "DPond_97_2889" "Eukaryota" "Arthropoda"
"109" "DPond_97_2944" "Eukaryota" "Streptophyta"
"110" "DPond_97_2947" "Eukaryota" "Arthropoda"
"111" "DPond_97_2949" "Eukaryota" "Arthropoda"
"112" "DPond_97_2998" "Eukaryota" "Nematoda"
"113" "DPond_97_3059" "Eukaryota" "Arthropoda"
"114" "DPond_97_3065" "Eukaryota" "Arthropoda"
"115" "DPond_97_3068" "Eukaryota" "Annelida"
"116" "DPond_97_3123" "Eukaryota" "Arthropoda"
"117" "DPond_97_3124" "Eukaryota" "Arthropoda"
"118" "DPond_97_3157" "Eukaryota" "Arthropoda"
"119" "DPond_97_3172" "Bacteria" "Proteobacteria"
"120" "DPond_97_3235" "Eukaryota" "Arthropoda"
"121" "DPond_97_3255" "Eukaryota" "Arthropoda"
"122" "DPond_97_3319" "Eukaryota" "Streptophyta"
"123" "DPond_97_3326" "Eukaryota" "Arthropoda"
"124" "DPond_97_3367" "Eukaryota" "Arthropoda"
"125" "DPond_97_3433" "Eukaryota" "Arthropoda"
"126" "DPond_97_3434" "Eukaryota" "Arthropoda"
"127" "DPond_97_3449" "Eukaryota" "Chordata"
"128" "DPond_97_3537" "Eukaryota" "Arthropoda"
"129" "DPond_97_3581" "Eukaryota" "Chordata"
"130" "DPond_97_3614" "Eukaryota" "Arthropoda"
"131" "DPond_97_3625" "Eukaryota" "Arthropoda"
"132" "DPond_97_3640" "Eukaryota" "Arthropoda"
"133" "DPond_97_3651" "Eukaryota" "Arthropoda"
"134" "DPond_97_3694" "Eukaryota" "Arthropoda"
"135" "DPond_97_3725" "Eukaryota" "Arthropoda"
"136" "DPond_97_3743" "Eukaryota" "Arthropoda"
"137" "DPond_97_3828" "Eukaryota" "Arthropoda"
"138" "DPond_97_3831" "Eukaryota" "Arthropoda"
"139" "DPond_97_3846" "Eukaryota" "Arthropoda"
"140" "DPond_97_3887" "Eukaryota" "Arthropoda"
"141" "DPond_97_3907" "Eukaryota" "Streptophyta"
"142" "DPond_97_3977" "Eukaryota" "Arthropoda"
"143" "DPond_97_3987" "Eukaryota" "Arthropoda"
"144" "DPond_97_4023" "Eukaryota" "Chordata"
"145" "DPond_97_4031" "Eukaryota" "Arthropoda"
"146" "DPond_97_4037" "Eukaryota" "Arthropoda"
"147" "DPond_97_4130" "Eukaryota" "Arthropoda"
"148" "DPond_97_4182" "Eukaryota" "Arthropoda"
"149" "DPond_97_4204" "Eukaryota" "Arthropoda"
"150" "DPond_97_4206" "Eukaryota" "Chordata"
"151" "DPond_97_4207" "Eukaryota" "Arthropoda"
"152" "DPond_97_4236" "Eukaryota" "Chordata"
"153" "DPond_97_4259" "Eukaryota" "Arthropoda"
"154" "DPond_97_4320" "Eukaryota" "Chordata"
"155" "DPond_97_4362" "Eukaryota" "Chordata"
"156" "DPond_97_4417" "Eukaryota" "Arthropoda"
"157" "DPond_97_4452" "Eukaryota" "Arthropoda"
"158" "DPond_97_4463" "Eukaryota" "Arthropoda"
"159" "DPond_97_4568" "Eukaryota" "Arthropoda"
"160" "DPond_97_4603" "Eukaryota" "Mollusca"
"161" "DPond_97_4621" "Eukaryota" "Arthropoda"
"162" "DPond_97_4626" "Eukaryota" "Chordata"
"163" "DPond_97_4755" "Eukaryota" "Arthropoda"
"164" "DPond_97_4788" "Eukaryota" "Arthropoda"
"165" "DPond_97_4818" "Eukaryota" "Arthropoda"
"166" "DPond_97_4829" "Eukaryota" "Arthropoda"
"167" "DPond_97_4842" "Eukaryota" "Arthropoda"
"168" "DPond_97_4914" "Eukaryota" "Arthropoda"
"169" "DPond_97_4961" "Eukaryota" "Arthropoda"
"170" "DPond_97_4966" "Eukaryota" "Arthropoda"
"171" "DPond_97_5045" "Eukaryota" "Arthropoda"
"172" "DPond_97_5059" "Eukaryota" "Chordata"
"173" "DPond_97_5079" "Eukaryota" "Echinodermata"
"174" "DPond_97_5082" "Eukaryota" "Chordata"
"175" "DPond_97_5101" "Eukaryota" "Arthropoda"
"176" "DPond_97_5114" "Eukaryota" "Arthropoda"
"177" "DPond_97_5130" "Eukaryota" "Arthropoda"
"178" "DPond_97_5151" "Eukaryota" "Arthropoda"
