"V1" "V2" "V3"
"1" "DendroDenovo_97_13" "Eukaryota" "Arthropoda"
"2" "DendroDenovo_97_20" "Eukaryota" "Arthropoda"
"3" "DendroDenovo_97_25" "Eukaryota" "Arthropoda"
"4" "DendroDenovo_97_33" "Eukaryota" "Arthropoda"
"5" "DendroDenovo_97_66" "Eukaryota" "Arthropoda"
"6" "DendroDenovo_97_78" "Eukaryota" "Arthropoda"
"7" "DendroDenovo_97_82" "Eukaryota" "Arthropoda"
"8" "DendroDenovo_97_83" "Eukaryota" "Arthropoda"
"9" "DendroDenovo_97_86" "Eukaryota" "Arthropoda"
"10" "DendroDenovo_97_93" "Eukaryota" "Arthropoda"
"11" "DendroDenovo_97_100" "Eukaryota" "Arthropoda"
"12" "DendroDenovo_97_111" "Eukaryota" "Arthropoda"
"13" "DendroDenovo_97_123" "Eukaryota" "Arthropoda"
"14" "DendroDenovo_97_131" "Eukaryota" "Arthropoda"
"15" "DendroDenovo_97_139" "Eukaryota" "Arthropoda"
"16" "DendroDenovo_97_140" "Eukaryota" "Arthropoda"
"17" "DendroDenovo_97_146" "Eukaryota" "Arthropoda"
"18" "DendroDenovo_97_159" "Eukaryota" "Arthropoda"
"19" "DendroDenovo_97_170" "Eukaryota" "Arthropoda"
"20" "DendroDenovo_97_171" "Eukaryota" "Arthropoda"
"21" "DendroDenovo_97_175" "Eukaryota" "Arthropoda"
"22" "DendroDenovo_97_182" "Eukaryota" "Arthropoda"
"23" "DendroDenovo_97_188" "Eukaryota" "Arthropoda"
"24" "DendroDenovo_97_190" "Eukaryota" "Arthropoda"
"25" "DendroDenovo_97_193" "Eukaryota" "Arthropoda"
"26" "DendroDenovo_97_199" "Eukaryota" "Arthropoda"
"27" "DendroDenovo_97_216" "Eukaryota" "Arthropoda"
"28" "DendroDenovo_97_221" "Eukaryota" "Arthropoda"
"29" "DendroDenovo_97_225" "Eukaryota" "Arthropoda"
"30" "DendroDenovo_97_231" "Eukaryota" "Arthropoda"
"31" "DendroDenovo_97_233" "Eukaryota" "Arthropoda"
"32" "DendroDenovo_97_236" "Eukaryota" "Arthropoda"
"33" "DendroDenovo_97_247" "Eukaryota" "Streptophyta"
"34" "DendroDenovo_97_253" "Eukaryota" "Arthropoda"
"35" "DendroDenovo_97_257" "Eukaryota" "Arthropoda"
"36" "DendroDenovo_97_260" "Eukaryota" "Arthropoda"
"37" "DendroDenovo_97_273" "Eukaryota" "Arthropoda"
"38" "DendroDenovo_97_274" "Eukaryota" "Chordata"
"39" "DendroDenovo_97_277" "Eukaryota" "Arthropoda"
"40" "DendroDenovo_97_283" "Eukaryota" "Arthropoda"
"41" "DendroDenovo_97_285" "Eukaryota" "Arthropoda"
"42" "DendroDenovo_97_291" "Eukaryota" "Arthropoda"
"43" "DendroDenovo_97_293" "Eukaryota" "Arthropoda"
"44" "DendroDenovo_97_309" "Eukaryota" "Arthropoda"
"45" "DendroDenovo_97_314" "Eukaryota" "Arthropoda"
"46" "DendroDenovo_97_329" "Eukaryota" "Arthropoda"
"47" "DendroDenovo_97_330" "Eukaryota" "Arthropoda"
"48" "DendroDenovo_97_343" "Eukaryota" "Arthropoda"
"49" "DendroDenovo_97_356" "Eukaryota" "Arthropoda"
"50" "DendroDenovo_97_360" "Eukaryota" "Arthropoda"
"51" "DendroDenovo_97_396" "Eukaryota" "Arthropoda"
"52" "DendroDenovo_97_401" "Eukaryota" "Arthropoda"
"53" "DendroDenovo_97_424" "Eukaryota" "Arthropoda"
"54" "DendroDenovo_97_430" "Eukaryota" "Arthropoda"
"55" "DendroDenovo_97_436" "Eukaryota" "Arthropoda"
"56" "DendroDenovo_97_441" "Eukaryota" "Arthropoda"
"57" "DendroDenovo_97_444" "Eukaryota" "Arthropoda"
