"V1" "V2" "V3"
"1" "DendroRef_97_12" "Eukaryota" "Streptophyta"
"2" "DendroRef_97_15" "Eukaryota" "Arthropoda"
"3" "DendroRef_97_78" "Eukaryota" "Arthropoda"
"4" "DendroRef_97_302" "Eukaryota" "Arthropoda"
"5" "DendroRef_97_312" "Eukaryota" "Arthropoda"
"6" "DendroRef_97_349" "Eukaryota" "Arthropoda"
"7" "DendroRef_97_358" "Eukaryota" "Arthropoda"
"8" "DendroRef_97_397" "Eukaryota" "Chordata"
"9" "DendroRef_97_412" "Eukaryota" "Chordata"
"10" "DendroRef_97_418" "Eukaryota" "Nematoda"
"11" "DendroRef_97_515" "Eukaryota" "Arthropoda"
"12" "DendroRef_97_569" "Eukaryota" "Arthropoda"
"13" "DendroRef_97_628" "Eukaryota" "Apicomplexa"
"14" "DendroRef_97_660" "Eukaryota" "Arthropoda"
"15" "DendroRef_97_673" "Eukaryota" "Mollusca"
"16" "DendroRef_97_680" "Eukaryota" "Chordata"
"17" "DendroRef_97_732" "Eukaryota" "Arthropoda"
"18" "DendroRef_97_800" "Eukaryota" "Arthropoda"
"19" "DendroRef_97_847" "Eukaryota" "Chordata"
"20" "DendroRef_97_951" "Eukaryota" "Arthropoda"
"21" "DendroRef_97_960" "Eukaryota" "Chordata"
"22" "DendroRef_97_965" "Eukaryota" "Arthropoda"
"23" "DendroRef_97_989" "Eukaryota" "Arthropoda"
"24" "DendroRef_97_1022" "Eukaryota" "Chordata"
"25" "DendroRef_97_1023" "Eukaryota" "Arthropoda"
"26" "DendroRef_97_1039" "Eukaryota" "Ascomycota"
"27" "DendroRef_97_1098" "Bacteria" "multiple"
"28" "DendroRef_97_1104" "Eukaryota" "Arthropoda"
"29" "DendroRef_97_1123" "Eukaryota" "Arthropoda"
"30" "DendroRef_97_1168" "Eukaryota" "Chordata"
"31" "DendroRef_97_1207" "Eukaryota" "Arthropoda"
"32" "DendroRef_97_1255" "Eukaryota" "Arthropoda"
"33" "DendroRef_97_1265" "Eukaryota" "multiple"
"34" "DendroRef_97_1274" "Eukaryota" "Arthropoda"
"35" "DendroRef_97_1279" "Eukaryota" "Streptophyta"
